,href
Глава 9. Покровитель и Гоблины,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-9-pokrovitel-i-gobliny/
Глава 8. Сила в моих руках,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-8-sila-v-moih-rukah/
Глава 7. Первая битва,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-7-pervaya-bitva/
Глава 6. Приобретение навыков,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-6-priobretenie-navykov/
Глава 5. Первые отголоски.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-5-pervye-otgoloski/
Глава 4. Мой первый друг.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-4-moj-pervyj-drug/
Глава 3. Первый разговор.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-3-pervyj-razgovor/
Глава 2. Первый контакт.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-2-pervyj-kontakt/
"Глава 1. Давайте посмотрим, на что я способен",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-1-davajte-posmotrim-na-chto-ya-sposoben/
Пролог: Смерть… и перерождение,https://ranobelib.ru/tensei-shitara-slime-datta-ken/prolog-smert-i-pererozhdenie/
"Глава 58. Призванные ~ те, кого называют героями",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-58-prizvannye-te-kogo-nazyvayut-geroyami/
Глава 57. Изучение магии,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-57-izuchenie-magii/
Глава 56. Королевство Инграция,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-56-korolevstvo-ingratsiya/
Глава 55. Регистрация авантюристов,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-55-registratsiya-avantyuristov/
Глава 54. Бизнес ~ Начало торговли,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-54-biznes-nachalo-torgovli/
Глава 53. Ассоциация Свободы,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-53-assotsiatsiya-svobody/
Глава 52. Путешествие,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-52-puteshestvie/
Глава 51. Город людей,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-51-gorod-lyudej/
Глава 50. Рубеж Гаррисона,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-50-rubezh-garrisona/
Глава 49. Нашествие Милим,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-49-nashestvie-milim/
Глава 48. Вторжение Лордов Демонов,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-48-vtorzhenie-lordov-demonov/
Глава 47. Специализация города,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-47-spetsializatsiya-goroda/
Глава 46. Два договора и Основание города.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-46-dva-dogovora-i-osnovanie-goroda/
"Глава 45. Те, кто наблюдает",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-45-te-kto-nablyudaet/
"Глава 44. Итак, строительство города окончено",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-44-itak-stroitelstvo-goroda-okoncheno/
Глава 43. Военные репарации,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-43-voennye-reparatsii/
Глава 42. Великий Союз Леса Джура,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-42-velikij-soyuz-lesa-dzhura/
Глава 41. Хищник,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-41-hishhnik/
Глава 40. Орочья катастрофа,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-40-orochya-katastrofa/
Глава 39. Шестерёнки судьбы,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-39-shesteryonki-sudby/
Глава 38. Дьявол Гельмудо,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-38-dyavol-gelmudo/
Глава 37. Встреча ~ Бенимару и Ранга,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-37-vstrecha-benimaru-i-ranga/
Глава 36. Участие в войне,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-36-uchastie-v-vojne/
Глава 35. Подготовка к войне,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-35-podgotovka-k-vojne/
Глава 34. Начало войны,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-34-nachalo-vojny/
Глава 33. Публика,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-33-publika/
Глава 32. Занавес поднимается,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-32-zanaves-podnimaetsya/
Глава 31. Экстренное совещание,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-31-ekstrennoe-soveshhanie/
Глава 30. Посланник,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-30-poslannik/
Глава 29. Вторжение ящеров,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-29-vtorzhenie-yashherov/
Глава 28. Выбор профессии,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-28-vybor-professii/
Глава 27. Клан огров,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-27-klan-ogrov/
Глава 26. Новые способности,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-26-novye-sposobnosti/
Глава 25. Трансформация в человека.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-25-transformatsiya-v-cheloveka/
Глава 24. Воспоминания ~ Похоронный марш,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-24-vospominaniya-pohoronnyj-marsh/
Глава 23. Пламенный великан.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-23-plamennyj-velikan/
Глава 22. Прибывшие авантюристы,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-22-pribyvshie-avantyuristy/
Глава 21. Новое движение,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-21-novoe-dvizhenie/
Глава 20. На пути к возрождению деревни.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-20-na-puti-k-vozrozhdeniyu-derevni/
Глава 19. Возвращение в деревню,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-19-vozvrashhenie-v-derevnyu/
"Глава 18,5. Гобута на связи!",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-18-5-gobuta-na-svyazi/
Глава 18. Итоги вражды,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-18-itogi-vrazhdy/
Глава 17. Выполненное обещание,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-17-vypolnennoe-obeshhanie/
Глава 16. Гном-кузнец,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-16-gnom-kuznets/
Глава 15. Сделка со стражей.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-15-sdelka-so-strazhej/
Глава 14. Неприятность.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-14-nepriyatnost/
Глава 13. К Карликовому Королевству,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-13-k-karlikovomu-korolevstvu/
Глава 12.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-12-2/
Глава 11. Превращение монстров,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-11-prevrashhenie-monstrov/
Глава 10. Битва у деревни Гоблинов,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-10-bitva-u-derevni-goblinov/
Глава 108. Финал турнира (часть 3),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-108-final-turnira-chast-3/
Глава 107. Финал турнира (часть 2),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-107-final-turnira-chast-2/
Глава 106. Финал турнира (часть 1),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-106-final-turnira-chast-1/
Глава 105. Предварительный раунд,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-105-predvaritelnyj-raund/
Глава 104. Ночь накануне,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-104-noch-nakanune/
Глава 103. Монстры-рабы,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-103-monstry-raby/
Глава 102. Аудиенция с монстрами,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-102-audientsiya-s-monstrami/
Глава 101. Чёткий план,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-101-chyotkij-plan/
Глава 100. Подземный лабиринт,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-100-podzemnyj-labirint/
Глава 99. Подготовка к турниру,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-99-podgotovka-k-turniru/
Глава 98. Официальное приглашение,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-98-ofitsialnoe-priglashenie/
Глава 97. Компенсация и последующие отношения,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-97-kompensatsiya-i-posleduyushhie-otnosheniya/
Глава 96. Возможность поговорить,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-96-vozmozhnost-pogovorit/
Глава 95. Безоговорочная победа,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-95-bezogovorochnaya-pobeda/
Глава 94. Кукловод,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-94-kuklovod/
Глава 93. Священные рыцари (часть 4),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-93-svyashhennye-rytsari-chast-4/
Глава 92. Священные рыцари (часть 3),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-92-svyashhennye-rytsari-chast-3/
Глава 91. Священные рыцари (часть 2),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-91-svyashhennye-rytsari-chast-2/
Глава 90. Священные Рыцари (часть 1),https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-90-svyashhennye-rytsari-chast-1/
Глава 89. Новый план,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-89-novyj-plan/
Глава 88. Ко второй встрече,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-88-ko-vtoroj-vstreche/
Глава 87. Святой город.,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-87-svyatoj-gorod/
"Глава 86. Те, кто передвигается в тени.",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-86-te-kto-peredvigaetsya-v-teni/
Глава 85. Донесение,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-85-donesenie/
Глава 84. Падение Королевства Фармас,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-84-padenie-korolevstva-farmas/
Глава 83. Восьмиконечная звезда демонов-лордов,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-83-vosmikonechnaya-zvezda-demonov-lordov/
Глава 82. Равноправие в смерти,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-82-ravnopravie-v-smerti/
Глава 81. На Банкете,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-81-na-bankete/
Глава 80. Происшествие перед Банкетом,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-80-proisshestvie-pered-banketom/
Глава 79. Дино и Дагрул,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-79-dino-i-dagrul/
Глава 78. Демоны-лорды,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-78-demony-lordy/
Глава 77. Доклад Рамирис,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-77-doklad-ramiris/
Глава 76. Встреча. Принятие решений,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-76-vstrecha-prinyatie-reshenij/
Глава 75. Встреча,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-75-vstrecha/
Глава 74. Вельдора,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-74-veldora/
Глава 73. Освобождённый,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-73-osvobozhdyonnyj/
Глава 72. После пробуждения,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-72-posle-probuzhdeniya/
"Глава 71. Единственный, кто переродился",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-71-edinstvennyj-kto-pererodilsya/
Глава 70. Праздник сбора урожая,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-70-prazdnik-sbora-urozhaya/
Глава 69. Рождение повелителя Демонов,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-69-rozhdenie-povelitelya-demonov/
Глава 68. Душа и надежда,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-68-dusha-i-nadezhda/
Глава 67. Лесные противники,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-67-lesnye-protivniki/
Глава 66. Случайная встреча,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-66-sluchajnaya-vstrecha/
Глава 65. Прелюдия к катастрофе,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-65-prelyudiya-k-katastrofe/
Глава 64. Последние дни в Королевской Столице,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-64-poslednie-dni-v-korolevskoj-stolitse/
Глава 63. Дети и духи,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-63-deti-i-duhi/
Глава 62. Духи – это…,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-62-duhi-eto/
Глава 61. Первое завоевание Подземелья,https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-61-pervoe-zavoevanie-podzemelya/
"Глава 60. Немного внезапно, но давайте проведём тест",https://ranobelib.ru/tensei-shitara-slime-datta-ken/glava-60-nemnogo-vnezapno-no-davajte-provedyom-test/
